DestinationSite,DestinationBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,subPlot,year,date,Measure,recorder,Ach mil,Aco sep,Agr cap,Agr mer,Alc alp,Alc sp,Anem nemo,Ant alp ,Ant dio,Ant odo,Arc alp,Ast alp,Atoc rup,Ave fle,Avenu  pub,Bart alp,Bet nan,Bet pub,Bis viv,Bot lun ,Cal vul,Cam rot,Car atr,Car big,Car cap,Car ech,Car fla,Car lep,Car nig,Car nor,Car pal,Car pan,Car pau,Car pil,Car pul,Car sax,Car vag,Car sp,Car car,Cer alp,Cer cer,Cer fon,Cer gla,Cha alp,Cir pal,Coe vir,Dac glo,Dant dec,Des alp,Des ces,Dia del,Dro rot,Dry oct,Emp her,Emp nig,Emp,Epi ana,Epilob sp ,Equi arv,Erigeron,Eri uni,Euph fri,Euph wet,Euph sp,Fes ovi,Fes rub,Fes viv,Filip ulm,Frag ves,Gal bor,Gal sax,Gal ul,Gal uli ,Gal ver,Gen ama,Gen cam,Gen niv,Gen ten,Gent sp,Ger syl,Geu riv,Gram sp,Gym dry,Hie alp,Hie pil,Hie vulg,Hier sp,Hyp mac,Hypo mac,Jun alp,Jun fili,Jun com,Jun tri,Kna arv,Kob sim,Leo aut,Leu vul,Linar vulg,Loi pro,Lot cor,Luz mul,Luz pil,Luz sp,Luz spi,Lych vis,Min bif,Mel pra,Nar stri,Oma nor,Oma sup,Oma syl,Oxa ace,Oxy dig,Par pal,Phle alp,Phle prat,Phyll caer,Pim sax,Pin vul,Pin alp,Ping sp,Pla lan,Pla maj,Pla med,Poa alp,Poa ann,Poa pra,Poaceae sp,Pot arg ,Pot cra,Pot ere,Pru vul,Pyr mig,Pyr min,Pyr nor,Pyrola sp,Ran acr,Ran aur,Ran rep,Rhin min,Rho ros,Rodhiola,Rub idae,Rum ace,Rum ac-la,Sag pro,Sag sag,Sag sp,Sal her,Sal lan,Sal lap,Sal phyl,Sal ret,Salix sp,Saus alp,Sax aiz ,Sax opp,Sed acr,Sel sel,Sib pro,Sil aca,Sil prat,Sil vul,Sol vir,Sorbus,Ste gra,Ste med,Suc pra,Tarax,Tha alp,Thlaspi  arv,Tof pus,Trien eur,Tri ces,Tri med,Tri mont,Tri pra,Tri rep,Vac myr,Vac uli,Vac vit,Ver alp,Ver cha,Ver fru,Ver off,Ver serp,Vic cra,Vic sep,Vio bif,Vio pal,Vio riv,Vio tri,Vio sp,Vio viv,Visc vul,pleuro,acro,liver,lichen,litter,soil,rock,seedlings,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment,
Lavisdalen,4,2032,,2032,Lav4RTG,RTG,,23,2011,17-Aug,Presence,W,,,,1,,F,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,95,0,,,,,0,,,
Lavisdalen,4,2032,,2032,Lav4RTG,RTG,,24,2011,17-Aug,Presence,W,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,5,60,0,,,,,0,,,
Lavisdalen,4,2032,,2032,Lav4RTG,RTG,,25,2011,17-Aug,Presence,W,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,1,,,
Lavisdalen,4,2032,,2032,Lav4RTG,RTG,,%,2011,17-Aug,Cover,W,,,1,1,1,2,,,,3,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,2,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1.28,5.44,0.2,0,13.8,66.8,0,,6,5,0,1,0.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,1,2011,17-Aug,Presence,Siri,,,,1,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,S,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,S,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,0,10,0,0,60,0,0,3,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,2,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,J,,,,,,,,,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,0,0,20,0,0,2,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,3,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,F,,,,,1,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,J,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,30,0,0,15,0,0,2,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,4,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,0,0,40,0,0,1,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,5,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,F,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,0,0,40,0,0,,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,6,2011,17-Aug,Presence,Siri,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,0,0,25,0,0,5,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,7,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,S,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,0,0,20,0,0,5,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,8,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,0,0,15,0,0,1,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,9,2011,17-Aug,Presence,Siri,,,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5,0,0,5,0,0,,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,10,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,F,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,0,0,25,0,0,,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,11,2011,17-Aug,Presence,Siri,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,1,,,,,,,,1,J,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,40,0,0,10,0,0,1,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,12,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"S,1",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,0,0,25,0,0,1,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,13,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,F,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,40,15,0,0,5,0,0,2,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,14,2011,17-Aug,Presence,Siri,,,F,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,F,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,75,5,0,0,10,0,0,,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,15,2011,17-Aug,Presence,Siri,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,0,0,10,0,0,1,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,16,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,F,"J,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,20,15,0,0,5,0,0,2,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,17,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,30,25,0,0,10,0,0,,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,18,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,0,0,10,0,0,,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,19,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,70,10,0,0,10,0,0,1,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,20,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,15,0,0,10,0,0,,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,21,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,1,,,,,,1,,,,,F,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,60,20,0,0,10,0,0,1,,,,,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,22,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,F,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,0,0,10,0,0,1,,,,5,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,23,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,45,15,0,0,20,0,0,1,,,,12,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,24,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,65,30,0,0,10,0,0,,,,,4.5,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,25,2011,17-Aug,Presence,Siri,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,0,0,25,0,0,,,,,8,,,
Lavisdalen,4,94,TTC,94,94 TTC,,TTC,%,2011,17-Aug,Cover,Siri,,,1,2,1,1,,,,2,,,,,,,,,2,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,1,,,,8,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,6,,4,,,3,4,2,,,,1,,,,,,4,,2,,,2,,,,2,,,,,,,,,,,,,,2,8,,5,,,,,,,,2,8,1,,,,,,,,3,3,,,,,,,,,,1,,2,,,,,,,1,,,,,,,29.6,20.4,0,0,17.8,0,0,,45,45,0,7.375,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,1,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,F,1,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,10,0,0,15,0,0,3,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,2,2011,17-Aug,Presence,Siri,,,,1,,1,,,,,,,,,,,,,F,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,S,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,F,,,,,,,,,,,,,,0,15,0,0,40,0,0,2,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,3,2011,17-Aug,Presence,Siri,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,F,,,,,,,,,1,,,,,,,,,,,,,,F,1,,,,,,,,,,,S,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,0,20,0,40,25,0,0,5,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,4,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,25,40,0,0,7,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,5,2011,17-Aug,Presence,Siri,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,0,0,25,0,0,2,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,6,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,10,0,0,30,0,0,3,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,7,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,10,0,0,20,0,0,4,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,8,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,F,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,25,15,0,0,20,0,0,2,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,9,2011,17-Aug,Presence,Siri,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,"S,1",,,,,S,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,25,1,0,1,75,0,0,4,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,10,2011,17-Aug,Presence,Siri,,,,F,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,75,1,0,0,25,0,0,,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,11,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,F,1,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,55,10,0,5,10,0,0,2,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,12,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,J,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,35,15,0,5,15,0,0,1,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,13,2011,17-Aug,Presence,Siri,,,,F,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,F,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,25,25,0,5,20,0,0,4,,,,,,,
Lavisdalen,4,92,TT1,93,92 TT1 93,,,14,2011,17-Aug,Presence,Siri,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,0,5,30,0,0,6,,,,,,,
